Cidade,Rede,Série,Disciplina,Matriculados na Série,Taxa de Participação (%),Percentual Insuficiente (%),Percentual Básico (%),Percentual Proficiente (%),Percentual Avançado (%),Percentual Aprendizado Adequado (%),Crescimento entre 2013 e 2015 (pp*)
Rubiataba,Todas,9º ano,Matemática,194,90.20999999999999,18.06,50.56,24.78,6.6,31.38,0.9399999999999999
Sanclerlândia,Todas,9º ano,Matemática,87,88.51000000000001,16.85,49.59,28.28,5.28,33.56,6.08
Santa Bárbara De Goiás,Todas,9º ano,Matemática,95,94.73999999999999,25.65,64.26000000000001,10.09,0,10.08,-2.03
Santa Cruz De Goiás,Todas,9º ano,Matemática,44,86.36,18.2,65.73,16.07,0,16.07,-1.6
Santa Fé De Goiás,Todas,9º ano,Matemática,59,77.97,47.55,47.55,4.9,0,4.9,-1.76
Santa Helena De Goiás,Todas,9º ano,Matemática,406,85.95999999999999,23.57,56.22,18.5,1.71,20.21,3.57
Santa Isabel,Todas,9º ano,Matemática,21,100,27.27,36.37,27.27,9.09,36.38,4.55
Santa Rita Do Araguaia,Todas,9º ano,Matemática,70,80,18.4,59.9,17.41,4.29,21.7,3.36
Santa Rita Do Novo Destino,Todas,9º ano,Matemática,26,100,10.73,53.56,32.14,3.57,35.73,15.02
Santa Rosa De Goiás,Todas,9º ano,Matemática,36,94.44,23.61,68.06,8.33,0,8.33,-15.91
Santa Tereza De Goiás,Todas,9º ano,Matemática,51,82.34999999999999,22.81,65.98999999999999,11.2,0,11.2,1.28
Santa Terezinha De Goiás,Todas,9º ano,Matemática,100,91,19.75,62.41,16.76,1.08,17.84,1.32
Santo Antônio Da Barra,Todas,9º ano,Matemática,67,94.03,17.87,74.06,8.07,0,8.07,-9.199999999999999
Santo Antônio De Goiás,Todas,9º ano,Matemática,58,81.03,39.84,45.78,14.38,0,14.38,3.3
Santo Antônio Do Descoberto,Todas,9º ano,Matemática,806,77.17,38.06,55.48,6.46,0,6.46,0.46
São Domingos,Todas,9º ano,Matemática,107,94.39,26.63,55.64,17.73,0,17.73,8.449999999999999
São Francisco De Goiás,Todas,9º ano,Matemática,63,82.54000000000001,9.6,53.43,29.48,7.49,36.97,22.48
São João D'aliança,Todas,9º ano,Matemática,121,94.20999999999999,32.94,54.54,12.52,0,12.52,4.13
São João Da Paraúna,Todas,9º ano,Matemática,25,80,30,70,0,0,0,0
São Luís De Montes Belos,Todas,9º ano,Matemática,230,80.43000000000001,22.79,56.61,18.62,1.98,20.6,8.029999999999999
São Luíz Do Norte,Todas,9º ano,Matemática,66,81.81999999999999,23.5,56.59,19.91,0,19.91,-2.3
São Miguel Do Araguaia,Todas,9º ano,Matemática,276,96.01000000000001,27.19,61.33,10.37,1.11,11.48,-1.07
São Miguel Do Passa Quatro  ,Todas,9º ano,Matemática,53,88.68000000000001,17.53,55.53,25.17,1.77,26.94,12.05
São Patrício,Todas,9º ano,Matemática,31,96.77,13.32,66.68000000000001,20,0,20,0
São Simão,Todas,9º ano,Matemática,206,79.13,15.12,60.3,19.58,5,24.59,-2.45
Senador Canedo,Todas,9º ano,Matemática,1345,78.88,30.41,59.43,9.289999999999999,0.87,10.16,1.81
Serranópolis,Todas,9º ano,Matemática,62,93.55,12,55.11,32.89,0,32.89,12.72
Silvânia,Todas,9º ano,Matemática,116,90.52,20.81,59.18,17.1,2.91,20.01,9.35
Simolândia,Todas,9º ano,Matemática,86,93.02,21.41,60.79,14.03,3.77,17.8,7.35
Taquaral De Goiás,Todas,9º ano,Matemática,23,100,39.13,47.83,13.04,0,13.04,3.65
Teresina De Goiás,Todas,9º ano,Matemática,79,91.14,44.89,45.87,9.24,0,9.24,4.17
Terezópolis De Goiás,Todas,9º ano,Matemática,100,75,26.12,51.57,21.16,1.15,22.31,14.27
Três Ranchos,Todas,9º ano,Matemática,45,91.11,14.42,60.47,20,5.11,25.11,5.3
Trindade,Todas,9º ano,Matemática,1458,89.51000000000001,27.05,60.63,10.85,1.47,12.32,-1.85
Trombas,Todas,9º ano,Matemática,47,87.23,21.39,63.82,12.49,2.3,14.81,-6.23
Turvânia,Todas,9º ano,Matemática,37,81.08,17.49,67.48,15.03,0,15.03,10.91
Turvelândia,Todas,9º ano,Matemática,60,98.33,27.02,67.98,5,0,5,-4.89
Uirapuru,Todas,9º ano,Matemática,28,75,33.32,66.68000000000001,0,0,0,-9.26
Uruaçu,Todas,9º ano,Matemática,359,84.95999999999999,19.4,59.12,19.32,2.16,21.48,6.72
Uruana,Todas,9º ano,Matemática,141,89.36,19.48,53.33,25.01,2.18,27.19,-4.04
Urutaí,Todas,9º ano,Matemática,55,100,12.91,61.27,23.86,1.96,25.82,3.59
Valparaíso De Goiás,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,31.25,58.75,9.66,0.34,10,3.28
Varjão,Todas,9º ano,Matemática,50,78,26.05,48.55,20.4,5,25.4,2.98
Vianópolis,Todas,9º ano,Matemática,138,88.41,13.23,48.21,35.89,2.67,38.55,6.23
Vicentinópolis,Todas,9º ano,Matemática,102,77.45,17.95,62.65,17.96,1.44,19.4,0.86
Vila Boa,Todas,9º ano,Matemática,48,89.58,30.25,64.67,2.54,2.54,5.06,0.72
Vila Propício,Todas,9º ano,Matemática,42,100,16.67,59.23,21.62,2.48,24.12,12.91
