Cidade,Rede,Série,Disciplina,Matriculados na Série,Taxa de Participação (%),Percentual Insuficiente (%),Percentual Básico (%),Percentual Proficiente (%),Percentual Avançado (%),Percentual Aprendizado Adequado (%),Crescimento entre 2013 e 2015 (pp*)
São João,Todas,9º ano,Matemática,254,86.61,32.19,60.95,6.47,0.39,6.87,5.52
São Joaquim Do Monte,Todas,9º ano,Matemática,203,81.77,27.35,54.96,14.96,2.73,17.69,12.85
São José Da Coroa Grande,Todas,9º ano,Matemática,257,78.59999999999999,43.44,50.09,6.02,0.45,6.47,0.58
São José Do Belmonte,Todas,9º ano,Matemática,367,85.56,38.74,50.01,10.33,0.92,11.25,2.14
São José Do Egito,Todas,9º ano,Matemática,211,84.36,27.36,57.18,14.9,0.5600000000000001,15.45,0.1
São Lourenço Da Mata,Todas,9º ano,Matemática,940,78.3,44.73,51.41,3.41,0.45,3.86,1.66
São Vicente Ferrer,Todas,9º ano,Matemática,181,81.77,43.03,52.24,4.73,0,4.73,1.4
Serra Talhada,Todas,9º ano,Matemática,935,90.7,35.05,53.96,9.630000000000001,1.36,10.99,0.31
Serrita,Todas,9º ano,Matemática,178,96.06999999999999,26.67,62.18,11.15,0,11.15,3.24
Sertânia,Todas,9º ano,Matemática,385,88.56999999999999,31.88,57.94,9.27,0.91,10.17,3.92
Sirinhaém,Todas,9º ano,Matemática,364,87.64,59.48,38.3,1.94,0.28,2.22,0.04
Solidão,Todas,9º ano,Matemática,36,100,21.61,48.64,24.33,5.42,29.72,29.75
Surubim,Todas,9º ano,Matemática,583,85.25,30.64,58.22,10.53,0.61,11.14,1.19
Tabira,Todas,9º ano,Matemática,309,92.23,28.97,59.91,9.4,1.72,11.12,1.12
Tacaimbó,Todas,9º ano,Matemática,124,89.52,44.91,52.38,2.71,0,2.71,0.24
Tacaratu,Todas,9º ano,Matemática,62,100,44.28,47.71,6.4,1.61,8.02,2.99
Tamandaré,Todas,9º ano,Matemática,273,91.20999999999999,39.11,53.46,6.35,1.08,7.44,3.07
Taquaritinga Do Norte,Todas,9º ano,Matemática,158,85.44,28.59,58.61,11.53,1.27,12.79,3.55
Terezinha,Todas,9º ano,Matemática,93,92.47,27.74,56.32,14.84,1.1,15.94,-14.87
Terra Nova,Todas,9º ano,Matemática,138,97.09999999999999,18.31,58.33,18.9,4.46,23.36,3.51
Timbaúba,Todas,9º ano,Matemática,644,90.68000000000001,34.03,54.07,10.83,1.07,11.9,3.29
Toritama,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,29.95,65.75,4.3,0,4.31,-1.6
Tracunhaém,Todas,9º ano,Matemática,117,98.29000000000001,25.91,62.74,11.35,0,11.35,10.6
Trindade,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,28.57,51.13,17,3.3,20.3,14.35
Triunfo,Todas,9º ano,Matemática,95,96.84,19.56,46.76,27.18,6.5,33.67,16.75
Tupanatinga,Todas,9º ano,Matemática,238,90.76000000000001,25.87,59.41,12.9,1.82,14.72,2.08
Tuparetama,Todas,9º ano,Matemática,81,80.25,23.79,45.46,24.94,5.81,30.75,14.29
Venturosa,Todas,9º ano,Matemática,143,83.92,31.27,58.58,8.710000000000001,1.44,10.15,0.72
Verdejante,Todas,9º ano,Matemática,95,85.26000000000001,38.25,53.13,8.619999999999999,0,8.619999999999999,6.94
Vertente Do Lério,Todas,9º ano,Matemática,68,89.70999999999999,28.01,57.26,14.73,0,14.74,0.11
Vertentes,Todas,9º ano,Matemática,184,77.72,26.14,61.65,12.21,0,12.21,3.41
Vicência,Todas,9º ano,Matemática,276,83.33,50.73,44.18,5.09,0,5.09,4.19
Vitória De Santo Antão,Todas,9º ano,Matemática,1120,81.16,42.72,50.58,6.48,0.22,6.7,2.52
Xexéu,Todas,9º ano,Matemática,234,83.33,45.91,50.35,3.25,0.49,3.74,2.36
