Cidade,Rede,Série,Disciplina,Matriculados na Série,Taxa de Participação (%),Percentual Insuficiente (%),Percentual Básico (%),Percentual Proficiente (%),Percentual Avançado (%),Percentual Aprendizado Adequado (%),Crescimento entre 2013 e 2015 (pp*)
Piracuruca,Todas,9º ano,Matemática,343,84.26000000000001,36.82,52.1,9.300000000000001,1.78,11.07,-3.23
Piripiri,Todas,9º ano,Matemática,378,85.98,27,56.81,13.98,2.21,16.19,6.56
Porto,Todas,9º ano,Matemática,119,81.51000000000001,32.62,56.26,11.12,0,11.12,6.61
Porto Alegre Do Piauí,Todas,9º ano,Matemática,24,100,50.02,42.3,7.68,0,7.68,1.02
Prata Do Piauí,Todas,9º ano,Matemática,30,80,29.16,50.02,20.82,0,20.82,12.14
Queimada Nova,Todas,9º ano,Matemática,94,81.91,37.1,62.9,0,0,0,0.63
Redenção Do Gurguéia,Todas,9º ano,Matemática,131,94.66,42.68,52.52,4.04,0.76,4.8,0.68
Regeneração,Todas,9º ano,Matemática,73,86.3,61.75,38.25,0,0,0,-1.56
Riacho Frio,Todas,9º ano,Matemática,22,95.45,42.84,57.16,0,0,0,0
Ribeira Do Piauí,Todas,9º ano,Matemática,76,100,53.94,44.75,1.31,0,1.31,-0.52
Ribeiro Gonçalves,Todas,9º ano,Matemática,73,98.63,41.86,55.52,2.62,0,2.62,-3.52
Rio Grande Do Piauí,Todas,9º ano,Matemática,111,90.98999999999999,42.59,56.51,0.9,0,0.9,-2.06
Santa Cruz Do Piauí,Todas,9º ano,Matemática,76,98.68000000000001,24.27,65.01000000000001,9.33,1.39,10.72,5.78
Santa Cruz Dos Milagres,Todas,9º ano,Matemática,48,93.75,22.29,71.09,4.46,2.16,6.62,0.9
Santa Filomena,Todas,9º ano,Matemática,55,98.18000000000001,57.73,36.82,5.45,0,5.45,-0.8100000000000001
Santa Luz,Todas,9º ano,Matemática,49,89.8,50.08,47.56,2.36,0,2.36,-3.28
Santa Rosa Do Piauí,Todas,9º ano,Matemática,56,98.20999999999999,29.12,60.16,10.72,0,10.73,7.63
Santana Do Piauí,Todas,9º ano,Matemática,46,86.95999999999999,45.06,42.53,9.94,2.47,12.41,6.96
Santo Antônio De Lisboa,Todas,9º ano,Matemática,26,88.45999999999999,34.79,56.51,8.699999999999999,0,8.699999999999999,-14.13
Santo Antônio Dos Milagres,Todas,9º ano,Matemática,20,80,68.76000000000001,31.24,0,0,0,0
Santo Inácio Do Piauí,Todas,9º ano,Matemática,38,94.73999999999999,22.29,52.75,24.96,0,24.95,19.13
São Braz Do Piauí,Todas,9º ano,Matemática,28,100,10.71,82.14,7.15,0,7.15,4.35
São Félix Do Piauí,Todas,9º ano,Matemática,28,92.86,15.37,73.09999999999999,11.53,0,11.53,0
São Francisco De Assis Do Piauí,Todas,9º ano,Matemática,31,93.55,24.13,58.61,17.26,0,17.26,15.64
São Francisco Do Piauí,Todas,9º ano,Matemática,40,85,10.66,65.08,24.26,0,24.26,12.4
São Gonçalo Do Gurguéia,Todas,9º ano,Matemática,22,100,54.57,40.9,4.53,0,4.53,0
São Gonçalo Do Piauí,Todas,9º ano,Matemática,39,87.18000000000001,52.95,44.11,0,2.94,2.94,1.47
São João Da Canabrava,Todas,9º ano,Matemática,25,96,12.51,62.51,24.98,0,24.98,15.62
São João Da Fronteira,Todas,9º ano,Matemática,71,83.09999999999999,42.15,56.1,1.75,0,1.75,-2.94
São João Da Serra,Todas,9º ano,Matemática,99,85.86,41.07,54.62,3.26,1.05,4.31,-3.38
São João Da Varjota,Todas,9º ano,Matemática,35,97.14,23.4,62.14,14.46,0,14.46,14.46
São João Do Arraial,Todas,9º ano,Matemática,114,88.59999999999999,37.77,60.17,2.06,0,2.06,-2.29
São João Do Piauí,Todas,9º ano,Matemática,161,81.98999999999999,51.89,47.36,0.75,0,0.75,-1.98
São José Do Divino,Todas,9º ano,Matemática,79,82.28,35.05,56.97,7.98,0,7.98,-6.34
São José Do Peixe,Todas,9º ano,Matemática,51,94.12,35.7,56.04,6.21,2.05,8.26,8.26
São José Do Piauí,Todas,9º ano,Matemática,45,95.56,27.67,57.98,14.35,0,14.35,5.25
São Julião,Todas,9º ano,Matemática,32,84.38,48.15,51.85,0,0,0,-4.32
São Lourenço Do Piauí,Todas,9º ano,Matemática,35,88.56999999999999,58.07,38.71,3.22,0,3.22,3.22
São Luis Do Piauí,Todas,9º ano,Matemática,23,78.26000000000001,11.12,72.20999999999999,16.67,0,16.67,0
São Miguel Da Baixa Grande  ,Todas,9º ano,Matemática,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*
São Miguel Do Fidalgo,Todas,9º ano,Matemática,37,100,40.55,56.76,2.69,0,2.69,2.69
São Miguel Do Tapuio,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,31.62,61.61,6.09,0.68,6.78,4.78
São Pedro Do Piauí,Todas,9º ano,Matemática,102,89.22,37.1,56.05,6.85,0,6.85,5.97
São Raimundo Nonato,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,54.22,41.53,3.72,0.53,4.24,3.17
Sebastião Barros,Todas,9º ano,Matemática,24,100,44,56,0,0,0,-4.36
Sebastião Leal,Todas,9º ano,Matemática,61,93.44,52.28,45.73,1.99,0,1.99,1.99
Sigefredo Pacheco,Todas,9º ano,Matemática,36,66.67,37.72,52.46,9.82,0,9.82,9.82
Simões,Todas,9º ano,Matemática,83,93.98,30.24,56.57,13.19,0,13.19,8.52
Simplício Mendes,Todas,9º ano,Matemática,100,81,28.14,57.49,14.37,0,14.38,9.550000000000001
Sussuapara,Todas,9º ano,Matemática,87,96.55,43.03,53.72,3.25,0,3.25,-0.65
Tamboril Do Piauí,Todas,9º ano,Matemática,30,86.67,57.69,38.46,3.85,0,3.85,-5.83
Tanque Do Piauí,Todas,9º ano,Matemática,42,54.76,4.34,47.83,34.78,13.05,47.82,45.6
Teresina,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,26.07,58.13,13.8,2,15.8,4.35
União,Todas,9º ano,Matemática,273,91.20999999999999,51.78,45.03,2.79,0.4,3.19,-1.17
Uruçuí,Todas,9º ano,Matemática,187,85.56,42.47,51.31,5.33,0.89,6.22,4.66
Valença Do Piauí,Todas,9º ano,Matemática,124,89.52,35.38,55.79,8.050000000000001,0.78,8.83,4.45
Várzea Branca,Todas,9º ano,Matemática,42,97.62,47.53,50.19,2.28,0,2.28,-2.38
Várzea Grande,Todas,9º ano,Matemática,52,92.31,35.41,62.5,2.09,0,2.09,-3.51
Vera Mendes,Todas,9º ano,Matemática,50,92,44.55,51.09,4.36,0,4.36,4.36
Vila Nova Do Piauí,Todas,9º ano,Matemática,27,100,14.83,48.14,25.93,11.1,37.05,27.03
Wall Ferraz,Todas,9º ano,Matemática,45,91.11,26.74,53.73,16.98,2.55,19.53,14.04
