Cidade,Rede,Série,Disciplina,Matriculados na Série,Taxa de Participação (%),Percentual Insuficiente (%),Percentual Básico (%),Percentual Proficiente (%),Percentual Avançado (%),Percentual Aprendizado Adequado (%),Crescimento entre 2013 e 2015 (pp*)
Jaquirana,Todas,9º ano,Matemática,32,93.75,36.67,63.33,0,0,0,-7.38
Jóia,Todas,9º ano,Matemática,34,94.12,6.73,65.54000000000001,27.73,0,27.73,15.62
Júlio De Castilhos,Todas,9º ano,Matemática,68,85.29000000000001,16.02,72.87,9.640000000000001,1.47,11.1,-12.88
Lagoa Bonita Do Sul,Todas,9º ano,Matemática,35,88.56999999999999,32.7,54.77,12.53,0,12.52,-7.47
Lagoa Dos Três Cantos,Todas,9º ano,Matemática,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*
Lagoa Vermelha,Todas,9º ano,Matemática,158,86.70999999999999,28.27,65.3,5.15,1.28,6.42,-13.93
Lagoão,Todas,9º ano,Matemática,28,78.56999999999999,22.72,68.19,9.09,0,9.09,5.71
Lajeado,Todas,9º ano,Matemática,353,83.56999999999999,15.89,58.05,22.48,3.58,26.06,4.2
Lavras Do Sul,Todas,9º ano,Matemática,23,86.95999999999999,25.01,65,9.99,0,9.99,3.69
Lindolfo Collor,Todas,9º ano,Matemática,41,97.56,6.65,73.09999999999999,18.03,2.22,20.24,-15.75
Maçambara,Todas,9º ano,Matemática,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*
Machadinho,Todas,9º ano,Matemática,68,86.76000000000001,25.13,56.57,18.3,0,18.3,4.86
Mampituba,Todas,9º ano,Matemática,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*
Manoel Viana,Todas,9º ano,Matemática,47,65.95999999999999,30.26,65.91,3.83,0,3.82,-22.19
Maquiné,Todas,9º ano,Matemática,34,82.34999999999999,32.14,57.14,10.72,0,10.72,-4.12
Marau,Todas,9º ano,Matemática,168,83.33,23.76,60.15,16.09,0,16.09,-0.89
Marcelino Ramos,Todas,9º ano,Matemática,30,73.33,31.56,42.21,26.23,0,26.23,12.37
Mariana Pimentel,Todas,9º ano,Matemática,25,88,27.29,59.09,13.62,0,13.62,0
Mariano Moro,Todas,9º ano,Matemática,21,95.23999999999999,25.01,60.01,14.98,0,14.98,-2.83
Marques De Souza,Todas,9º ano,Matemática,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*
Mata,Todas,9º ano,Matemática,48,91.67,41.67,51.84,6.49,0,6.49,-5.7
Mato Castelhano,Todas,9º ano,Matemática,23,86.95999999999999,44.98,55.02,0,0,0,0
Mato Leitão,Todas,9º ano,Matemática,26,100,3.53,43.8,48.83,3.84,52.67,5.41
Maximiliano De Almeida,Todas,9º ano,Matemática,41,92.68000000000001,18.51,65.68000000000001,13.15,2.66,15.81,-10.95
Minas Do Leão,Todas,9º ano,Matemática,53,75.47,17.92,54.78,24.87,2.43,27.3,-5.05
Miraguaí,Todas,9º ano,Matemática,20,80,43.75,43.76,12.49,0,12.48,1.25
Monte Alegre Dos Campos,Todas,9º ano,Matemática,34,88.23999999999999,43.35,43.34,9.99,3.32,13.34,0
Montenegro,Todas,9º ano,Matemática,448,77.90000000000001,14.74,64.68000000000001,18.45,2.13,20.58,7.56
Morro Redondo,Todas,9º ano,Matemática,49,75.51000000000001,24.34,56.93,18.73,0,18.73,3.34
Morro Reuter,Todas,9º ano,Matemática,22,95.45,28.57,33.33,38.1,0,38.08,5.87
Mostardas,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,45.47,51.84,2.69,0,2.69,-8.609999999999999
Muçum,Todas,9º ano,Matemática,45,88.89,32.36,54.95,10.16,2.53,12.69,-8.779999999999999
Muitos Capões,Todas,9º ano,Matemática,22,63.64,35.72,57.15,7.13,0,7.13,7.13
Não-Me-Toque,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,16.61,57.02,21.81,4.56,26.37,4.06
Nicolau Vergueiro,Todas,9º ano,Matemática,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*
Nonoai,Todas,9º ano,Matemática,90,87.78,29.29,54.43,14.99,1.29,16.28,12.51
Nova Alvorada,Todas,9º ano,Matemática,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*
Nova Araçá,Todas,9º ano,Matemática,28,96.43000000000001,11.66,61.66,26.68,0,26.68,8.94
Nova Bassano,Todas,9º ano,Matemática,90,82.22,29.59,51.18,15.05,4.18,19.23,5.3
Nova Boa Vista,Todas,9º ano,Matemática,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*
