"Questao";"Opcao";"Proficiencia";"Porcentagem"
"29 - Seus pais ou responsáveis incentivam você a ler?";"Não.";"Insuficiente";"0.102564102564103"
"29 - Seus pais ou responsáveis incentivam você a ler?";"Não.";"Basico";"0.135384615384615"
"29 - Seus pais ou responsáveis incentivam você a ler?";"Não.";"Proficiente";"0.114058355437666"
"29 - Seus pais ou responsáveis incentivam você a ler?";"Não.";"Avançado";"0.119402985074627"
"29 - Seus pais ou responsáveis incentivam você a ler?";"NI";"Insuficiente";"0"
"29 - Seus pais ou responsáveis incentivam você a ler?";"NI";"Basico";"0.0153846153846154"
"29 - Seus pais ou responsáveis incentivam você a ler?";"NI";"Proficiente";"0.00795755968169761"
"29 - Seus pais ou responsáveis incentivam você a ler?";"NI";"Avançado";"0.0149253731343284"
"30 - Seus pais ou responsáveis incentivam você a ir a escola e/ou não faltar às aulas?";"Sim.";"Insuficiente";"0.974358974358974"
"30 - Seus pais ou responsáveis incentivam você a ir a escola e/ou não faltar às aulas?";"Sim.";"Basico";"0.96"
"30 - Seus pais ou responsáveis incentivam você a ir a escola e/ou não faltar às aulas?";"Sim.";"Proficiente";"0.986737400530504"
"30 - Seus pais ou responsáveis incentivam você a ir a escola e/ou não faltar às aulas?";"Sim.";"Avançado";"0.970149253731343"
"30 - Seus pais ou responsáveis incentivam você a ir a escola e/ou não faltar às aulas?";"Não.";"Insuficiente";"0"
"30 - Seus pais ou responsáveis incentivam você a ir a escola e/ou não faltar às aulas?";"Não.";"Basico";"0.0215384615384615"
"30 - Seus pais ou responsáveis incentivam você a ir a escola e/ou não faltar às aulas?";"Não.";"Proficiente";"0.0106100795755968"
"30 - Seus pais ou responsáveis incentivam você a ir a escola e/ou não faltar às aulas?";"Não.";"Avançado";"0.0149253731343284"
"30 - Seus pais ou responsáveis incentivam você a ir a escola e/ou não faltar às aulas?";"NI";"Insuficiente";"0.0256410256410256"
"30 - Seus pais ou responsáveis incentivam você a ir a escola e/ou não faltar às aulas?";"NI";"Basico";"0.0184615384615385"
"30 - Seus pais ou responsáveis incentivam você a ir a escola e/ou não faltar às aulas?";"NI";"Proficiente";"0.0026525198938992"
"30 - Seus pais ou responsáveis incentivam você a ir a escola e/ou não faltar às aulas?";"NI";"Avançado";"0.0149253731343284"
